,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
296,0,3,1,4,11,1,0,15,6,9,3
567,0,3,1,4,9,1,0,0,0,0,0
355,0,2,1,5,17,0,12,5,7,11,7
1148,1,5,1,3,13,1,0,0,0,0,0
304,0,4,1,4,5,0,15,6,2,12,15
1105,1,2,1,4,5,0,0,0,0,0,0
462,0,5,1,3,10,0,0,0,0,0,0
369,0,6,1,3,11,0,12,5,7,5,8
1325,1,5,1,11,10,0,19,20,15,8,15
753,0,3,1,4,11,0,17,0,11,0,17
829,0,2,1,4,4,0,19,16,0,16,13
321,0,2,1,4,13,0,18,0,0,11,15
659,0,3,1,3,8,1,0,0,0,0,3
919,0,3,1,4,10,0,18,17,11,15,8
1088,1,4,1,4,15,0,17,17,12,16,14
811,0,3,1,4,12,0,17,16,0,13,16
681,0,8,1,3,15,0,0,0,0,0,0
803,0,3,1,4,8,1,17,0,4,0,14
1258,1,2,1,4,8,0,14,12,13,19,12
1130,1,3,1,4,0,0,18,6,0,14,17
1232,1,4,1,4,15,0,0,0,0,0,0
874,0,4,1,4,12,0,11,0,0,0,13
1443,1,5,1,3,18,0,18,0,0,14,0
809,0,5,1,4,17,0,0,0,0,0,0
574,0,2,1,3,17,0,16,9,6,7,14
821,0,3,1,7,8,0,15,14,9,10,14
1506,1,4,1,4,17,1,19,12,3,10,14
565,0,3,1,4,10,0,15,0,0,0,0
1226,1,2,1,4,13,0,9,0,0,4,17
1182,1,2,1,7,8,0,16,13,11,19,8
714,0,5,1,3,11,0,17,4,6,3,14
1518,1,20,1,10,10,0,20,19,14,19,17
1015,0,2,1,7,8,0,18,5,4,12,13
1339,1,8,1,3,8,0,0,0,16,19,16
1010,0,3,1,5,5,0,0,0,0,0,0
1162,1,2,1,4,0,0,11,11,0,0,8
309,0,2,1,4,13,0,0,0,0,0,0
682,0,13,1,3,13,0,0,0,0,0,0
1201,1,4,1,14,13,0,0,0,0,0,0
341,0,3,1,7,8,0,17,19,12,20,13
1219,1,3,1,3,8,0,16,15,18,19,16
1490,1,3,1,5,13,0,17,0,0,17,15
600,0,6,1,3,10,1,19,18,12,15,17
443,0,3,1,3,11,1,12,6,0,5,0
529,0,2,1,5,5,1,11,2,1,6,13
1054,0,4,1,3,14,1,7,7,0,5,0
744,0,2,1,4,15,1,17,14,12,14,14
